db_type,img_name,mem,int,tru,emp,aes,itt,cft
Rand10_QPromptV3,HousePrice-9,6,7,7,5,6,6,6
Rand10_QPromptV3,HousePrice-9,5,6,7,4,5,5,5
Rand10_QPromptV3,HousePrice-9,6,7,7,5,6,6,6
Rand10_QPromptV3,HousePrice-9,7,7,7,6,7,7,7
Rand10_QPromptV3,HousePrice-9,4,5,6,3,4,4,4
Rand10_QPromptV3,HousePrice-10,7,7,7,6,7,7,7
Rand10_QPromptV3,HousePrice-10,5,6,7,4,6,5,5
Rand10_QPromptV3,HousePrice-10,6,7,7,5,7,6,6
Rand10_QPromptV3,HousePrice-10,7,7,7,6,7,7,7
Rand10_QPromptV3,HousePrice-10,4,5,6,3,5,4,4
Rand10_QPromptV3,HousePrice-11,7,7,7,6,7,7,7
Rand10_QPromptV3,HousePrice-11,6,7,7,5,7,6,6
Rand10_QPromptV3,HousePrice-11,7,7,7,6,7,7,7
Rand10_QPromptV3,HousePrice-11,7,7,7,6,7,7,7
Rand10_QPromptV3,HousePrice-11,5,6,7,4,6,5,5
Rand10_QPromptV3,HousePrice-12,7,7,7,7,7,7,7
Rand10_QPromptV3,HousePrice-12,6,7,7,6,7,6,6
Rand10_QPromptV3,HousePrice-12,7,7,7,7,7,7,7
Rand10_QPromptV3,HousePrice-12,7,7,7,7,7,7,7
Rand10_QPromptV3,HousePrice-12,6,7,7,5,7,6,6
