,mem,int,tru,emp,aes,itt,cft,topic,img_index,mem-why,int-why,tru-why,emp-why,aes-why,itt-why,cft-why,chart_name
17,2,3,4,5,2,2,2,COVID,6,"There is too much information provided in small charts, it is difficult to remember.",It can be interesting but difficult to memorise and understand immediately.,"There are no clearly written sources, only a reference to the nations.","Considering the topic yes, I can empathise because it has affected everyone.","No, the pie chart does not seem too useful in this case because there is too much information communicated in too little space, percentages in a list would have sufficed.","No, because you have to constantly move your eyes to understand the information.","I do not like the design chosen, it makes it difficult to understand and memorise all the information.",COVID-6
18,1,4,5,5,2,5,2,COVID,12,Way too much information on the graph,There's a lot going on and seems more detailed.,I see a lot of sources which is good.,Covid cases will always go up.,Way too small for font and a lot of going on.,covid cases are different between countries.,Too detailed and need more point summaries.,COVID-12
19,5,3,1,4,2,4,4,COVID,1,Two simple bar graphs are good.,Very basic details in each bar graph.,No sources are listed and not trustworthy.,Seems about right with the death cases.,Very simple bar graphs and is basic.,Makes sense for death cases being different in countries.,Basic and is easily readable.,COVID-1
20,5,5,6,6,6,3,6,COVID,8,Unique circle graph haven't seen before,Has points that are readable and can be understood.,There are sources for the information.,Covid has been tested by many countries.,I like how the circles are visually appealing,Didn't know they do covid testings into a graph,This is a good graph to show testing of covid cases per country.,COVID-8
21,6,7,4,6,7,2,7,COVID,9,The different colours makes it very vivid.,Not your standard graph usage and is very thoughful.,Single source but sums the graph great.,Makes sense for countries to have increased covid cases.,The colours as the amount of covid cases is really well put.,Didn't know there was covid increased cases.,The chart is very readable and not messy.,COVID-9
22,5,7,2,5,6,6,4,COVID,10,The black background gives the graph a unique taste.,Colour contrast of the graph is really well thought.,No sources of information and limited.,Covid cases will hospitalize people.,Colour scheme is really nice and colours makes it very readble.,Yes being able to know covid cases are sending people to hospitals.,Simple great but lacks information for the most part.,COVID-10
23,3,6,3,2,6,4,6,COVID,11,Graph is way too big,There's a lot of information packed into this graph/,Doesn't seem like there's any source information,Not sure what this graph depicts.,Colour scheme used is really good.,Vaccines are well known to defend against covid,Readable chart and is visually appealing.,COVID-11
24,4,1,5,1,3,4,4,GlobalWarming,2,"The colours make the chart easily memorable, but the information is not relevant to me. ",The information contained in the chart is not relevant or interesting to me. ,"There is lots of information in the chart, so I guess so. ",There is nothing here to cause any empathy. ,The colours are bland. ,I don't really care for the information in the chart. ,I am able to read the chart. ,GlobalWarming-2
25,1,1,5,1,5,2,1,GlobalWarming,3,There is a lot of information in the two charts. ,I really do not find the chart interesting. ,There is a lot of information in the chart so I guess the information can be construed as trustworthy. ,There is nothing in the chart which causes any sort of empathy. ,The chart is colourful. ,It is difficult to read. ,I cannot read the chart. ,GlobalWarming-3
26,5,5,5,6,6,5,6,GlobalWarming,4,The information is interesting to me. ,I find the information interesting. ,The information seems clear and interesting - and based on proper reasoning. ,Gas Emissions is a global problem so I do empathise with the information contained in the chart.,Looks good. ,Yes - can read and understand. ,Chart is readable. ,GlobalWarming-4
27,1,1,4,1,5,2,2,GlobalWarming,5,The chart is very complex. ,The information is not relevant or interesting to me at all. ,"I suppose, but because it is complex, I don't really care for the detail. ",The information is not interesting or relevant to me so I don't empathise.,The chart looks really good. ,"If understood, yes. Difficult for me to read. ",Difficult to read. ,GlobalWarming-5
28,5,6,6,6,5,5,6,GlobalWarming,12,"Yes, very interesting. ",The information contained in the chart is very interesting. ,The source is NASA - so very trustworthy. ,The information contained in the chart is concerning so yes I do empathise.,Looks good!,Readable and interesting. ,I am able to read and understand. ,GlobalWarming-12
29,6,6,1,5,5,6,6,GlobalWarming,1,Lovely chart - different but valuable.,Very interesting information contained in the chart. ,No source. Not sure where the information is gathered from. ,The information contained in the chart is about an important topic which is problematic. I do empathise. ,Looks good. ,Readable and informative.,I am able to read and understand the chart.,GlobalWarming-1
30,6,7,7,6,5,7,4,HousePrice,8,The color schemme used makes the chart easily remembered. ,"Yes, the topic is quite interesting for the reader. ",It's trustworthy because on the bottom of the chart there is the source of the information given. ,THe topic of the chart can make the reader empathize with it due to a very important topic. ,The chart is well made and the colors well displayed,"Yes, the colors used make it quite intuitive.",The chart it's normal. It can make the reader comfortable to read it. ,HousePrice-8
31,3,6,6,6,4,5,4,HousePrice,3,The charts are not easily remebered due to the quantity of imnormation. ,"Yes, its interesting because it's and interesting topic for the reader. ",The chart it's trustworthy because on the bottom of it there is the sources used. ,I can empathize with the chart due to the topic begin very common for everybody,"Neutra, the chart could  be better displayed with better colors. ",Could be more intuitive using different fonts and colors. ,Neutra. The chart does not make me comfortable neither uncomfortable. ,HousePrice-3
32,3,5,6,6,6,4,5,HousePrice,4,The cahrt is not easily remembered due to the type of chart used. ,The topic of the chart is interesting. ,It is trustworthy due to the source on the bottom of the chart. ,The topic of the chart makes you empathizy with it. ,The color gradinat can make its quite aestehically pleasing. ,Neutral. The chart is not very intuitive for the reader because of the type of chart used. ,The chart does not make mye comfortable neither uncomfortable. ,HousePrice-4
33,4,6,6,5,5,6,4,HousePrice,5,The way the information is displayed does not make the chart easy remembered,"Yes, the chart is interesting because the information that projects. ",Its is trustworthy due to the source of the information begin on the bottom if the chart ,"Yes, i can empathize with it because of the topic displayed. ",Tha chart is not that aesthetically pleasing because of the chart type. ,"Yes, the chart and the information gives i quite intuitive for the reader. ",The chart does not make me comfortable  neither uncomfortable. ,HousePrice-5
34,6,6,6,6,7,7,4,HousePrice,6,Because of the chart displaying a map make it better for remembering it. ,"Yes, the chart is intereting to read due to the type of the chart used and the colors. ",It's trustworthy because there is the source of the data used. ,The topic of the chart can me you emphatize with it. ,"Yes, the chart is very pleasing due to the colors used and the maps. ",It's so intuitve because fo the maps and the colors used. ,The chart does not make me comfortable neither uncomfortable. ,HousePrice-6
35,6,6,6,5,5,6,4,HousePrice,7,This type of chart can be easily remembered due to the simplines of it. ,"yes, the topic of the chart it's quite interesting",it's trustworthy becuse on the bottom of it there is the source of the information used. ,The topic can make you empathize with it. ,"yes, the colors used and the type of chart can be aesthetically pleasing. ","Yes, the chart its very inuitive for the reader due to the colors and type of the chart. ",The chart does not make me feel comfortable or uncomfortable. ,HousePrice-7
36,6,6,5,5,6,6,6,GlobalWarming,8,"There aren't many countries/economies listed, and the information is clearly presented","The countries/political entities discussed are major economies, so it makes the information more relevant",I would like to know the source the information is based on,It aligns with my pre-existing notions of climate change overall,"I would have liked more shades of colour, but it is accessible",It is comfortable to interpret,I find it useful and accessible,GlobalWarming-8
37,5,7,6,6,6,6,6,GlobalWarming,9,"This model makes it a bit more difficult to remember, and there are only a few specific examples mentioned",I find the topic covered to be more interesting and detailed  with the individual breakdown of circles representing each city,"A source is cited as part of the BBC, although I'm not familiar with the researching team or the study",I would personally feel more engaged if I could read the article with a more detailed analysis and discussion of specific cities,It's pleasing but a bit less accessible when the circles superpose on top of each other,"It's not too difficult to interpret, although the amount of data you can put to use may be more limited (few cities specified)","I'm comfortable with how the information is presented overall, and the source makes it more reliable",GlobalWarming-9
38,7,6,7,7,7,7,7,GlobalWarming,10,The take-away is very striking and the colour gradient makes it easy to remember,"I find the survey to be relevant to current environmental discussion, but I'd like more information on the sample of participants that were involved",The sources cited do appear to be reliable at a glance,I'm more personally engaged with the sentiment of climate-insecurity in the South of Europe,I believe that the data is very eye-catching and easy to interpret in this format,"It's easy to associate what each colour gradient represents, even without reading the percentages","For the reasons discussed above, I find it very accessible and comfortable to use",GlobalWarming-10
39,6,6,5,5,7,6,6,GlobalWarming,5,"Because the difference in temperature discussed is one to three degrees, it may be a bit more difficult to remember how the trend progressed specifically over the years","I find it interesting and relevant, particularly in the context of the news of increasing fires and droughts in the state of California",It's missing the source and methods used,"I find temperature differences to be less emotion-evoking, although I do feel alarmed and engaged with the topic",It's very approachable in terms of visual readability,The data discussed is really quite simple,"I do overall, but would need further context/information on the project",GlobalWarming-5
40,6,7,7,7,6,7,7,GlobalWarming,6,The trends are easy to remember in this format,It is particularly interesting because it offers a more detailed analysis of different aspects and measurements and that gives a better picture of the situation,"It appears to be published research, and it aligns with scientific information that has been made known and is being discussed",The trends shown are engaging and thought-provoking,The chart is pretty striking and not too convoluted or distracting,I would say that it is easy to use and interpret,"Overall, I find this chart to be particularly accessible, detailed and  usable",GlobalWarming-6
41,6,6,5,6,7,6,6,GlobalWarming,7,"Although I'm not very familiar with Fahrenheit readings and it can be slightly less accessible for other communities to translate it into Celsius at a glance, the trend mapped is very striking and alarming",It is relevant to the discussion,"The NASA logo alone doesn't give it much weight in terms of reliability, I would like more information on the project or context of the measurements",It's engaging and relevant to current events,The format used is easy to read in visual terms,It's very accessible and simple to interpret,I would like more information before citing it or referring to it in any way,GlobalWarming-7
42,7,7,7,5,7,7,7,GlobalWarming,7,The use of colors easy to read. There is a clear trend in the data as well thus easy to remember.,Yes. Its interesting because it involves us as humans i.e. global warming is something that effects us all and we all have the power to change this trend.,Yes. I think based on world events and experience the data is true.,Global warming effects me too i.e.e weather patterns,Colours are great and easy to read and understand.,At a quick glance  can see and understand the detail.,Easy to read and use so I'm comfortable with it.,GlobalWarming-7
43,2,6,2,4,6,7,6,GlobalWarming,8,Subject i.e. co2 emitted is not on everyones mind.,It is interesting as its not like a conventional chart i.e. bar chart,At a glance I don't think its trustworthy. I think EU and USA contribute a lot to c02 emissions.,Not too interested in c02 emissions of countries so I cannot.,I like the use of colours and lines. They paint a clear picture.,Looking at the lines and detail it is easy to read and understand even at a simple glance thus intuitive.,I am comfortable reading this as it has high readability and easy to understand and make sense of.,GlobalWarming-8
44,2,2,5,2,6,6,2,GlobalWarming,3,Its a bit confusing with all the lines. Not too clean and intuitive.,Looks cool but not interesting to say the least. Not much practical application.,"It does look professionally done i.e. colours, lines etc. so  it is trustworthy.",Not too interested in this detail or subject thus can't empathize,Colours make it pleasing to look at.,trends do some easily but not sure if this is for a specific country or the whole etc. so not intuitive in that sense.,No. Not too comfortable as I don't know if this data is accurate/not too interested in the subject matter.,GlobalWarming-3
45,7,7,7,6,7,7,7,GlobalWarming,4,Use of colours makes this chart stand out thus easy to remember.,Very interesting to see what the source of green house gas is in the US. Topic is something I can relate to. ,"Data seems like it is trustworthy and could be accurate, No issues i.e. these are things that could contribute to green house gas emissions.",This is something that impacts me i.e. green house gas so definitely I can empathize.,I like the use of colours. It makes it easy to read and understand the distinctions/sources.,Very easy to read at a glance and understand what the subject matter is i.e. with colours and headings.,Very comfortable with this chart as its easy to read and use.,GlobalWarming-4
46,3,2,0,1,2,5,2,GlobalWarming,5,Colours are not common i.e. background as well makes it difficult to remember i.e. usually white backgrounds are easier.,Subject matter is a bit of a bore for most. Not sure what value add it can have in someone's life so not too interesting.,Can't really say. No source material or detail.,Not my subject matter of interest thus cannot empathize here.,Colours are good but not memorable. Background as well is too dark and 'drowns' out the detail a bit.,The green trend line makes it easy to read but that's the only intuitive things about this chart.,The detail on the chart doesn't 'pop' as background is black thus not too comfortable with this.,GlobalWarming-5
47,2,2,5,6,2,6,5,GlobalWarming,6,Chart looks very 'old school' and not too memorable.,Very bland and dull so not too interesting. The detail however is something that impacts us all so a little bit interesting.,Can be trusted to a certain extent as its common knowledge that temperatures are increasing globally.,This impacts me as a person thus I can empathize.,Very dull and not memorable. Detail looks like its from a very old text book i.e. early 1990's,At a glance it is easy to read and understand thus intuitive.,"I am comfortable with the detail as it does express what is happening in real-life/current conditions, so yes I am.",GlobalWarming-6
48,5,7,4,6,6,6,6,HousePrice,8,"Somewhat easy to remember, you can relate the housing prices to the country.","It is interesting to compare other countries and the prices, which opens up conversation for other topics related.",uncertain about it's trustworthiness,I can understand how difficult it is to purchase a home in todays climate.,The colours are complimenting and it is easy to look at,"Yes the, data is clear and the colours are helpful to determine what I'm looking at.","Yes, it only takes a moment to understand this chart.",HousePrice-8
49,2,6,4,2,3,3,2,HousePrice,9,It has too much information to take in.,somewhat interesting to understand the history of US housing prices,uncertain of this,I can't empathise with this as it does not effect me.,It is an ugly chart.,"It could be better displayed, it is confusing.",I do not like the look of this chart.,HousePrice-9
50,3,2,2,0,5,2,3,HousePrice,10,The information isn't very helpful,Not particularly interesting.,I wouldn't rely on this for information.,Nothing helpful to answer this.,It looks ok,It's too simple.,I don't find it useful,HousePrice-10
51,5,6,6,5,6,6,6,HousePrice,11,Somewhat as the chart expands decades of prices.,Yes the information is helpful and has historical value,The information looks correct,It leaves an impression at how costs have risen so highly.,"Yes I like the style, with the incorporation of a house.",Creative and compares with inflation.,Yes I like the look and it easy to understand.,HousePrice-11
52,2,6,4,5,6,6,5,HousePrice,6,Too complicated.,It is somewhat interesting,uncertain,It seems like it would be difficult to find a good deal in Japan for a house.,The colours are nice and well balanced.,Yes it is simple enough to understand quickly.,It is not too bad to look at.,HousePrice-6
53,6,6,0,5,5,5,6,HousePrice,7,Yes the contrast between countries is big enough to remember.,It is interesting to see how Turkey has exceeded,I have no idea.,It is interesting to see how eastern countries have risen.,It is simple and clean to read.,The simplicity makes it intuitive.,I find it easy to read.,HousePrice-7
54,2,2,2,0,5,6,6,COVID,7,Old data. Not relevant to current situation.,Old data. Not relevant to current situation. Does not present new perspective.,"Not familiar with source, Our World in Data. ",The chart is a representation of numerical data. I do not understand how to empathize with a visual representation of a quantified value.,Easy to distinguish between the values. ,Seems pretty basic. Adheres to standard graph policy. ,Feels familiar. Easy to understand. ,COVID-7
55,2,2,3,0,5,5,5,COVID,8,I do not know what data I should focus on. It is hard to understand what the chart is trying to convey.,It is a snapshot at one moment in time. It is not interesting unless that period of time is relevant.,Was The Atlantic the source of US Data? Why was the CDC missing?,I do not understand this question. These are visual representations of piece of quantified data. I need a human element. ,I like the ordered appearance of circle size. ,It is easy to understand big circles represent larger values.,I think I understand the point it wants to convey. Easy to understand. ,COVID-8
56,1,3,5,0,5,2,2,COVID,9,"The design is easily remembered, but what the chart wants to say is lost. ","I am not sure what the chart is trying to explain, so I am not interested because of my confusion.",Source to data is provided. DW is a familiar company. JHU is familiar. ECDC might be European-CDC. Needs further inspection.,Nothing gives me the impression there is a human element to this representation. ,"Without trying to understand the values, the chart looks pleasing to the eye. The fire color combination is well contrasted with the water color. ",No values for Y-axis. Not clear what I am looking at. ,I do not understand how to interpret the chart. ,COVID-9
57,5,5,3,1,6,7,7,COVID,10,It is easy to remember that a spike happened in September 2021. The specific values are not particularly memorable. ,It is interesting very slightly. Nothing specific.,covkid sounds more like it is a kids project than a project about kids. No specific source of data provided. ,"I understand the subjects are children, but they are just numbers. ",Good use of coloring to emphasize severity. Classic design. ,Easy to understand period and sections. Good gaps in values. ,Easy to understand color and design choice. ,COVID-10
58,2,3,4,1,5,3,2,COVID,11,The bubble sizes are too similar. The numbers need memorized but they are not emphasized. ,I am not a medical researcher or a citizen of Canada. ,I would need to verify the ability to access the data through the Access The Data button. It would be more helpful to provide a source too. ,Too large of numbers. People are just numerical. ,"Ignoring the circle size inconsistency, it it a comfortable way to view data. ","The circle sizes should be relevant, but they are seemingly not. ",I do not understand the circle size choices. ,COVID-11
59,2,3,3,1,2,2,3,COVID,12,Lines are not easily distinguished. The importance of the measured value is not clear. ,"Chart does not seem trustworthy, so it is hard to become interested in questionable information. ",Title seems too pro-China. Source is confusing. Unfamiliar with CSSE.,I do not detect a human element. Just  a bunch of data. ,Bad colorscheme. ,I do not understand the importance of the days since 100th case measurement. This seems trivial. ,Poor choice of colors and confusing stated purpose. ,COVID-12
60,7,6,7,5,1,3,5,COVID,2,As we move forward it grows.,Day to day update.,The chart seems logical.,You can empathize with COVID patients.,There is nothing pleasing with patients,It is not very intuitive.,Kind of comfortable.,COVID-2
61,2,6,6,3,1,1,5,COVID,3,You can maybe remember some states.,It is interesting to know what states are more vaccinated.,It seems detailed enough.,Not so much.,I do not find vaccination pleasing even in the slightest.,No intuition just data.,More comfortable than uncomfortable.,COVID-3
62,3,5,3,5,2,2,6,COVID,4,You can probably remember some countries.,It is interesting to know what countries have more infections of COVID.,It is just a pie chart no other data.,I can empathize for the countries with high rates.,It is slightly pleasing because it is a pie chart.,Not much intuition in my opinion.,I feel comfortable with the way it is presented.,COVID-4
63,1,5,6,2,2,1,5,COVID,11,Too much information.,Kind of interesting to know the number of vaccines distributed.,It seems detailed enough.,No much empathy for this information.,It is a bit difficult to comprehend.,Pure data no intuition in my opinion.,You can see some kind of pattern and that makes me slightly comfortable.,COVID-11
64,6,6,7,5,2,7,4,COVID,12,Easy to remember which countries have high and slow spread rate.,Interesting information for the future.,It seems very detailed.,I kind of empathize with the countries that have high spread.,Other than the colors of the chart nothing else is aesthetically pleasing.,This chart can potentially predict the future of these countries.,Not comfortable or uncomfortable.,COVID-12
65,6,7,5,6,3,2,2,COVID,1,"Easily remember the order of the continents, not so easy the numbers.",Interesting data.,Kind of detailed enough.,I can empathize with the number of deaths.,Kind of since it has some color.,Just data.,Not comfortable with seeing number of deaths.,COVID-1
66,6,5,5,5,4,6,6,HousePrice,11,I feel like putting the chart inside a graphic of a house makes it easier to recall due to it being the same topic as the data,It's significantly better than just a bland chart but it feels a bit stale and like average corporation soulless thing,.Gov seams to be a reputable source,I feel like it shows the increase pretty well,It's not terrible but it's not something awe inspiring either,"I mean it's pretty self explanatory, the graphic literally explains the chart",I mean it's pretty non threatening,HousePrice-11
67,2,4,6,3,2,3,4,HousePrice,6,"It looks very generic, and dense","The issue is, when you try to show a lot of data it tends to be easy to just skim over without really caring","Like with the previous chart, the governmental sources seem to be reputable","It feels like it breaks it down too much, it's hard to relate to it",It's too dense,It's a bit dense but gets the point across,non threatening,HousePrice-6
68,5,5,3,6,5,7,4,HousePrice,7,It's easy to read and shows clear data,It's pretty easy to read and gives you the most important part so it's pretty easy to want to find out the rest,"I'm not sure, I haven't heard of the Knight Frank so I'd be skeptical but mostly out of principle",It's easy to relate to the experience of your whole country,It's clear and calm,It's easy to read and practical,"Like with the other charts, it's pretty non threatening, it doesnt really cause discomfort but the data is concerning",HousePrice-7
69,2,4,7,5,4,6,3,HousePrice,8,It feels like the title is easy to forgo and the chart is a bit weird with the scale,"Not particularly, it feels a bit too broad.",Eurostat is very reputable as far as I know,It's pretty easy to empathize with a global change,The scale looks disproportional to the map,Outside of the sizing issue it's easy to read,"It's honestly pretty annoying to look at due to the off-putting sizing, seriously she scale is huge next to the map",HousePrice-8
70,6,6,0,6,7,5,6,HousePrice,9,I think it's pretty eye catching and despite being a bit hard to read it drives the point well,It has a nice aesthetic while being decently easy to read and providing a decent amount of data,Once again I'm just not familiar with the source,I think it shows a national change which is decently easy to empathize with when you get a sense that it's a common issue,The art style is very nice and fitting to teh subject,It's a bit hard to read with the precise scales but not a huge hustle,It's really nice to look at and informative,HousePrice-9
71,3,1,1,2,2,2,3,HousePrice,10,It feels generic and really bland,Lack of a source and a really weird scale,"Same as with interest, there's no source for the information and the scale looks a bit dishonest","It's just genuinely unbelievable, it's very easy to dismiss it
","The background is nice but it has a very Fox News feel to it, it feels very bland and generic while also being terrible to read",The chart feels weird,It just feels clickbaity and dishonest,HousePrice-10
72,6,7,7,7,5,0,4,COVID,5,There is a clear conclusion to the information in the chart,It shows information which affected me personally,It comes from a trusted source,My personal experiences makes the data very relatable and emotional,"It is visually clear and makes some use of colour, the colour gradient is relatable to infection",It doesn't follow any set pattern,There is enough distance for the chart not to be overly emotional but there is still some discomfort in the reading of what was happening,COVID-5
73,2,4,5,2,2,1,6,COVID,12,There is too much information for any one clear message to be recalled,The information it is trying to show is interesting but there is too much clutter,The source is trustworthy but there seems to be a lot of 'best guess' and conflicting theories being represented alongside each other,The numbers are so high and the information scattered over such a large area that it's hard to see it in human terms,The colour scheme is soft and unthreatening but there is no clear guide for where the eye should go and no focal point. It just looks a bit messy at a glance,Much of the information seems disparate,The information seems very impassionate and data driven so there is no sense of unease,COVID-12
74,3,7,3,2,2,6,7,COVID,1,The key data is there and I would remember a snapshot but would not be able to break it down into more specific data,It clearly shows important data and some figures which I found surprising,"Despite the trustworthy source, the simplicity of the charts makes them appear less scientific",The simplicity of the charts makes them feel like basic data rather than relatable figures,it's not interesting although it is very easy to read,The data correlates and it is easy to see links,"Very easy to read, very easy to pull out information",COVID-1
75,6,4,0,5,3,5,6,COVID,2,I would be able to relay the gist of the information and could visualise easily,cases seem fairly consistently split among age groups although slightly surprising it wasn't higher at the younger end,"Not knowing the source makes it difficult to assess, I would have to check source and validity before taking information on board",As a parent I can equate the data with real human experiences,It is very clear and easy to read but feels cold,the chart follows a clear pattern which feels logical,I don't find the chart distressing,COVID-2
76,1,3,7,1,5,0,7,COVID,3,"the data is too varied and I don't recognise any particular patterns, I wouldn't be able to describe what it's telling me easily",The data is too large to pull out any conclusions so it's hard to invest,The chart uses information from a reputable source and clearly utilises large amounts of collated data,I have no emotional attachment or reaction to the information,"The chart looks good and looks like it would be interesting at first glance, the colours used are inviting",I cannot recognise any patterns and my eyes don't know where to focus or how best to read what I'm seeing,The lack of emotional response makes the chart very non-confronting,COVID-3
77,7,3,2,1,3,0,3,COVID,4,Simple data given in a clear visual format,The chart seems fairly basic and the data doesn't draw any conclusions or ask any questions,I don't know the source and it doesn't look professionally produced.,There is no emotive or emotional data,At first glace the colours make it attractive but there isn't enough consideration given to differentiating between colours and it feels low quality,Not giving a source makes the data feel unconnected ,I would feel uncomfortable with using the data,COVID-4
78,3,3,3,1,2,6,3,COVID,4,theres too much countries. You can probably remember the top 3 ,nothing too interesting,no sources , not sure how i would empathize ,too many similar tones of orange and red/purple,pie charts are very common and easy to understand,i dont like that italy is second on the list with less percentage than iran,COVID-4
79,2,6,5,0,5,4,4,COVID,11,too much data. i can remember that its a map chart cause that is not common,I like the idea of a map chart,theres a lot of extra data to back it up and theres a button to download the full data,I do not understand how i would empathize with a chart,I like the map and it makes sense to use different tones of a same color here,"the map is, the chart on the right isnt",its a bit too messy,COVID-11
